product_id,variant_id,status,title,variant,sku,old_price,final_price,changed
9920599785720,48966667337976,ACTIVE,7.30 ct DEW Moissanite Drop Dangle Earrings Gift for Women Wife Anniversary Birthday Wedding,Gold Vermeil,GH-MOI-01025,5600.00,6799.99,Yes
9920599884024,48966667796728,ACTIVE,4.40 ct DEW Round Moissanite Solitaire Stud Earrings 18K Gold Plated Gift for Women Wife Anniversary Birthday,18K Gold Plated Vermeil,GH-MOI-01023,4900.00,5899.99,Yes
9920599949560,48966668222712,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 7,GH-MOI-01022,7000.00,7000.00,No (reverted)
9920599949560,48966668255480,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 5,,7000.00,7000.00,No (reverted)
9920599949560,48966668288248,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 6,,7000.00,7000.00,No (reverted)
9920599949560,48966668321016,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 8,,7000.00,7000.00,No (reverted)
9920599949560,48966668353784,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 9,,7000.00,7000.00,No (reverted)
9920599949560,48966668386552,ACTIVE,Certified 3 ct DEW Round Cut Pink Moissanite Solitaire Ring in Gold Plated Vermeil,18K Gold Plated Vermeil / 10,,7000.00,7000.00,No (reverted)
9920600015096,48966668452088,ACTIVE,2.40 ct DEW Certified Round White & Blue Moissanite Pendant In 18K Gold Plated,Yellow Gold,GH-MOI-01021-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600015096,50038454386936,ACTIVE,2.40 ct DEW Certified Round White & Blue Moissanite Pendant In 18K Gold Plated,Rose Gold,GH-MOI-01021-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600015096,50038454419704,ACTIVE,2.40 ct DEW Certified Round White & Blue Moissanite Pendant In 18K Gold Plated,White Gold,GH-MOI-01021-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600080632,48966668878072,ACTIVE,3 ct DEW Certified Marquise Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01020-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600080632,50038461432056,ACTIVE,3 ct DEW Certified Marquise Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01020-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600080632,50038461464824,ACTIVE,3 ct DEW Certified Marquise Cut White Moissanite Solitaire Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01020-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600146168,48966669304056,ACTIVE,3.35 ct DEW Certified Pear Cut White Moissanite Pendant In 18K Gold Plated,Yellow Gold,GH-MOI-01019-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600146168,50038471590136,ACTIVE,3.35 ct DEW Certified Pear Cut White Moissanite Pendant In 18K Gold Plated,Rose Gold,GH-MOI-01019-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600146168,50038471622904,ACTIVE,3.35 ct DEW Certified Pear Cut White Moissanite Pendant In 18K Gold Plated,White Gold,GH-MOI-01019-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600178936,48966669336824,ACTIVE,Beautiful 3 ct DEW Certified Round Cut White Moissanite Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01018-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600178936,50038477160696,ACTIVE,Beautiful 3 ct DEW Certified Round Cut White Moissanite Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01018-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600178936,50038477193464,ACTIVE,Beautiful 3 ct DEW Certified Round Cut White Moissanite Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01018-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600277240,48966669795576,ACTIVE,2 ct DEW Heart Shaped White Moissanite Designer Pendant In 18K Gold Plated,Yellow Gold,GH-MOI-01017-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600277240,50038481912056,ACTIVE,2 ct DEW Heart Shaped White Moissanite Designer Pendant In 18K Gold Plated,Rose Gold,GH-MOI-01017-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600277240,50038481944824,ACTIVE,2 ct DEW Heart Shaped White Moissanite Designer Pendant In 18K Gold Plated,White Gold,GH-MOI-01017-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600310008,48966670221560,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Cross Pendant in 18K Gold Plated Vermeil,Yellow Gold,GH-MOI-01016-YG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600310008,50038487286008,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Cross Pendant in 18K Gold Plated Vermeil,Rose Gold,GH-MOI-01016-RG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600310008,50038487318776,ACTIVE,5.00 ct DEW Certified Round Cut White Moissanite Cross Pendant in 18K Gold Plated Vermeil,White Gold,GH-MOI-01016-WG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600375544,48966670254328,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,Yellow Gold,GH-MOI-01015-YG,3500.00,4199.99,Yes
9920600375544,50038493839608,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,Rose Gold,GH-MOI-01015-RG,3500.00,4199.99,Yes
9920600375544,50038493872376,ACTIVE,3.50 ct DEW Princess Cut White Moissanite Pendant in 18K Gold Plated Vermeil – Birthday Gift,White Gold,GH-MOI-01015-WG,3500.00,4199.99,Yes
9920600441080,48966670680312,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,Yellow Gold,GH-MOI-01014-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600441080,50038498984184,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,Rose Gold,GH-MOI-01014-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600441080,50038499016952,ACTIVE,1.80 ct DEW F/VS1 White Moissanite Cross Pendant in 18K Gold Plated Vermeil – Religious Gift,White Gold,GH-MOI-01014-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600506616,48966671106296,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,Yellow Gold,GH-MOI-01013-YG,3500.00,4199.99,Yes
9920600506616,50038503833848,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,Rose Gold,GH-MOI-01013-RG,3500.00,4199.99,Yes
9920600506616,50038503866616,ACTIVE,3.70 ct DEW F/VS1 White Moissanite Pendant in 18K Gold Plated Vermeil – Anniversary Gift,White Gold,GH-MOI-01013-WG,3500.00,4199.99,Yes
9920600539384,48966671139064,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,Yellow Gold,GH-MOI-01012-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600539384,50038509895928,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,Rose Gold,GH-MOI-01012-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600539384,50038509928696,ACTIVE,3.50 ct DEW Certified Moissanite Pendant in 18K Gold Plated Vermeil – Wedding & Holiday Gift,White Gold,GH-MOI-01012-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,48966671565048,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,Yellow Gold,GH-MOI-01011-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,50038516351224,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,Rose Gold,GH-MOI-01011-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600604920,50038516383992,ACTIVE,2.10 ct DEW Certified Cross Moissanite Pendant in 18K Gold Plated Vermeil – Holiday Gift,White Gold,GH-MOI-01011-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,48966671597816,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,Yellow Gold,GH-MOI-01010-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,50038523363576,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,Rose Gold,GH-MOI-01010-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600637688,50038523396344,ACTIVE,2.10 ct DEW White Cross Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christian Gift,White Gold,GH-MOI-01010-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600703224,48966672023800,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,Yellow Gold,GH-MOI-01009-YG,3500.00,4199.99,Yes
9920600703224,50038527590648,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,Rose Gold,GH-MOI-01009-RG,3500.00,4199.99,Yes
9920600703224,50038527623416,ACTIVE,3.50 ct DEW Certified Moissanite Pendant 18K Gold Plated,White Gold,GH-MOI-01009-WG,3500.00,4199.99,Yes
9920600735992,48966672056568,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,Yellow Gold,GH-MOI-01008-YG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600735992,50038534209784,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,Rose Gold,GH-MOI-01008-RG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600735992,50038534242552,ACTIVE,2.60 ct DEW Certified Moissanite Pendant Birthday Gift for Her 18K Gold Plated,White Gold,GH-MOI-01008-WG,2100.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,48966672482552,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,Yellow Gold,GH-MOI-01007-YG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,50038541025528,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,Rose Gold,GH-MOI-01007-RG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600801528,50038541058296,ACTIVE,3.30 ct DEW White Moissanite Pendant 18K Gold Plated,White Gold,GH-MOI-01007-WG,2800.00,4199.99,Yes (raised to 4199.99 minimum)
9920600867064,48966672908536,ACTIVE,3.65 ct DEW White Moissanite Pendant in 18K Gold Plated Vermeil – Certified Christmas Gift,Yellow Gold,GH-MOI-01006-YG,3500.00,4199.99,Yes
