S.no,Creditor Name,Expense Ledger,Under Tally Group
1,Busybees Logistics Solutions Private Limited,Shipping Exp 18%,Indirect Expenses
2,UPS EXPRESS PRIVATE LIMITED,Shipping Exp 18%,Indirect Expenses
3,FACEBOOK INDIA ONLINE SERVICES PRIVATE LIMITED,Business EXP,Indirect Expenses
4,Shiprocket Limited,Shipping Exp 18%,Indirect Expenses
5,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,Business EXP,Indirect Expenses
6,ZOHO CORPORATION PRIVATE LIMITED,Business EXP,Indirect Expenses
7,Calance Software (P) Ltd.,Office Rent Exp 18%,Indirect Expenses
8,THE NEW INDIA ASSURANCE CO LIMITED,Business EXP,Indirect Expenses
9,GCA GLOBAL LOGISTICS LLP,Shipping Exp 18%,Indirect Expenses
10,M/S INFO EDGE INDIA LTD,Business EXP,Indirect Expenses
11,INDIAMART INTERMESH LTD.,Software Exp 18%,Indirect Expenses
12,SHIP GLOBAL EXPRESS PRIVATE LIMITED,Shipping Exp 18%,Indirect Expenses
13,THE MOBILE GALLERY,Business EXP,Indirect Expenses
14,SENIOR POSTMASTER INDRAPRASTHA HEAD POST OFFICE,Shipping Exp 18%,Indirect Expenses
15,THE GEM AND JEWELLARY EXPORT PROMOTION COUNCIL,Business EXP,Indirect Expenses
16,KOTAK MAHINDRA BANK LTD,Other Services Exp 18%,Indirect Expenses
17,KAY KAY OVERSEAS CORPORATION,Software Exp 18%,Indirect Expenses
18,TALLY(INDIA) PRIVATE LIMITED,Software Exp 18%,Indirect Expenses
19,PRATHAM COMPUTECH,Software Exp 18%,Indirect Expenses
20,HDFC BANK LIMITED,Other Services Exp 18%,Indirect Expenses
21,PINE LABS LIMITED,Business EXP,Indirect Expenses
22,DAWNTECH ELECTRONICS PRIVATE LIMITED,Software Exp 18%,Indirect Expenses
23,MANCHANDA ENTERPRISES,Packing Material Purchase 18%,Indirect Expenses
24,Porter,Shipping Exp 18%,Indirect Expenses
25,METRO BRANDS LIMITED,Other Services Exp 18%,Indirect Expenses
26,CLICKTECH RETAIL PRIVATE LIMITED,Other Services Exp 18%,Indirect Expenses
27,AMAZON SELLER SERVICES PVT LTD,Business EXP,Indirect Expenses
28,Commodum Groceries Private Limited,Other Services Exp 18%,Indirect Expenses
29,COMPUTER JUNCTION,Software Exp 18%,Indirect Expenses
30,RETAILEZ PRIVATE LIMITED,Other Services Exp 18%,Indirect Expenses
31,VISHAL SAFE AND STORAGE SYSTEMS,Business EXP,Indirect Expenses
32,GREEN TECH COMPUTERS,Software Exp 18%,Indirect Expenses
33,MAKE MY TRIP (INDIA) PVT. LTD.,Travel Exp 18%,Indirect Expenses
34,CRESCE TECHNOLOGY PRIVATE LIMITED,Software Exp 18%,Indirect Expenses
35,RK WORLDINFOCOM PRIVATE LIMITED,Other Services Exp 18%,Indirect Expenses
36,VERASYS LIMITED,Business EXP,Indirect Expenses
37,HALDEN GLOBAL BIZ PRIVATE LIMITED,Other Services Exp 18%,Indirect Expenses
38,CLICKTECH RETAIL PRIVATE LIMITED (29AAJCC9783E1Z3),Other Services Exp 18%,Indirect Expenses
39,CLICKTECH RETAIL PRIVATE LIMITED (27AAJCC9783E1Z7),Other Services Exp 18%,Indirect Expenses
40,THE GEM AND JEWELLERY EXPORT PROMOTION COUNCIL,Business EXP,Indirect Expenses
41,SIMRAN AUTOMOTIVE PRIVATE LIMITED,Software Exp 18%,Indirect Expenses
42,AXONWISE PRIVATE LIMITED,Software Exp 18%,Indirect Expenses
